url,id,Lng,Lat,Cid,tradeTime,DOM,followers,totalPrice,price,square,livingRoom,drawingRoom,kitchen,bathRoom,floor,buildingType,constructionTime,renovationCondition,buildingStructure,ladderRatio,elevator,fiveYearsProperty,subway,district,communityAverage
https://bj.lianjia.com/chengjiao/101101263750.html,1.01E+11,116.468806,39.978995,1.11E+12,2017/3/30,29,0,18130,103868,1745.5,6,3,1,4,µ× 4,nan,2008,1,6,1,0,0,0,7,88345
https://bj.lianjia.com/chengjiao/101101209445.html,1.01E+11,116.447681,40.002373,1.11E+12,2017/3/24,32,0,11600,128036,906,6,3,1,5,µ× 3,nan,2005,4,6,1,0,0,0,7,108901
https://bj.lianjia.com/chengjiao/101100358957.html,1.01E+11,116.42054,40.017217,1.11E+12,2016/9/24,60,0,6000,146879,408.5,5,3,1,4,µ× 3,nan,2002,4,6,1,0,0,0,7,110187
https://bj.lianjia.com/chengjiao/BJCY88717670.html,BJCY88717670,116.4612,39.903663,1.11E+12,2015/6/5,1,1,5700,120008,474.97,4,3,1,5,µ× 3,nan,2012,4,6,0.167,1,0,1,7,137274
https://bj.lianjia.com/chengjiao/101101176415.html,1.01E+11,116.445275,39.995363,1.11E+12,2017/4/21,66,15,5500,137776,399.2,4,2,1,3,µ× 2,nan,1999,4,4,1,0,1,1,7,116654
https://bj.lianjia.com/chengjiao/101101136809.html,1.01E+11,116.462122,39.923796,1.11E+12,2017/5/7,89,0,4900,120988,405,4,2,1,3,¶¥ 29,1,2006,4,6,0.75,1,0,1,7,103114
https://bj.lianjia.com/chengjiao/101102351318.html,1.01E+11,116.491057,39.900784,1.11E+12,2017/12/2,4,0,4800,123011,390.21,4,3,1,4,µÍ 17,4,2014,1,6,1.5,1,0,1,7,124149
https://bj.lianjia.com/chengjiao/BJCY89025008.html,BJCY89025008,116.437966,40.018379,1.11E+12,2015/11/16,1,4,4650,81043,573.77,5,3,2,4,µ× 3,nan,Î´Öª,4,6,1,1,1,0,7,114246
https://bj.lianjia.com/chengjiao/101102249214.html,1.01E+11,116.340959,39.994651,1.11E+12,2017/11/17,19,0,4475,110768,404,4,2,2,4,ÖÐ 20,1,2011,1,6,0.5,1,0,1,8,88489
https://bj.lianjia.com/chengjiao/101101812550.html,1.01E+11,116.340842,39.951449,1.11E+12,2017/12/28,168,0,4450,101137,440,4,3,2,4,ÖÐ 13,3,2008,4,6,1,1,0,0,8,91658
